Category,Organisms,Year,Source
ebl,Escherichia coli BL21(DE3),2012,RefSeq
ebe,Escherichia coli BL21(DE3),2012,RefSeq
elf,Escherichia coli LF82,2012,RefSeq
ecoa,Escherichia coli APEC O78,2013,GenBank
ecol,Escherichia coli LY180,2013,RefSeq
ecoi,Escherichia coli PMV-1,2013,RefSeq
ecoj,Escherichia coli JJ1886,2013,RefSeq
ecoo,Escherichia coli O145:H28 RM13514 (EHEC),2014,GenBank
ecoh,Escherichia coli O145:H28 RM13516 (EHEC),2014,GenBank
efe,Escherichia fergusonii,2008,RefSeq
eal,Escherichia albertii,2015,GenBank
sty,Salmonella enterica subsp. enterica serovar Typhi CT18,2001,RefSeq
stt,Salmonella enterica subsp. enterica serovar Typhi Ty2,2003,RefSeq
sex,Salmonella enterica subsp. enterica serovar Typhi P-stx-12,2012,RefSeq
sent,Salmonella enterica subsp. enterica serovar Typhi Ty21a,2013,RefSeq
stm,Salmonella enterica subsp. enterica serovar Typhimurium LT2,2001,RefSeq
seo,Salmonella enterica subsp. enterica serovar Typhimurium 14028S,2012,RefSeq
sev,Salmonella enterica subsp. enterica serovar Typhimurium D23580,2012,RefSeq
sey,Salmonella enterica subsp. enterica serovar Typhimurium SL1344,2012,RefSeq
sem,Salmonella enterica subsp. enterica serovar Typhimurium T000240,2012,RefSeq
sej,Salmonella enterica subsp. enterica serovar Typhimurium UK-1,2012,RefSeq
seb,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,2012,RefSeq
sef,Salmonella enterica subsp. enterica serovar Typhimurium 798,2012,RefSeq
setu,Salmonella enterica subsp. enterica serovar Typhimurium U288,2013,RefSeq
setc,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921,2013,RefSeq
seen,Salmonella enterica subsp. enterica serovar Typhimurium 08-1736,2013,RefSeq
senr,Salmonella enterica subsp. enterica serovar Typhimurium DT2,2013,RefSeq
send,Salmonella enterica subsp. enterica serovar Typhimurium DT104,2013,RefSeq
seni,Salmonella enterica subsp. enterica serovar Typhimurium 138736,2014,GenBank
spt,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150,2004,GenBank
sek,Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601,2008,RefSeq
spq,Salmonella enterica subsp. enterica serovar Paratyphi B,2007,GenBank
sei,Salmonella enterica subsp. enterica serovar Paratyphi C,2009,RefSeq
sec,Salmonella enterica subsp. enterica serovar Choleraesuis,2005,RefSeq
seh,Salmonella enterica subsp. enterica serovar Heidelberg SL476,2008,RefSeq
shb,Salmonella enterica subsp. enterica serovar Heidelberg B182,2012,RefSeq
senh,Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069,2013,RefSeq
seeh,Salmonella enterica subsp. enterica serovar Heidelberg 41578,2013,RefSeq
see,Salmonella enterica subsp. enterica serovar Newport SL254,2008,RefSeq
senn,Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1,2013,RefSeq
sew,Salmonella enterica subsp. enterica serovar Schwarzengrund,2008,RefSeq
sea,Salmonella enterica subsp. enterica serovar Agona SL483,2008,RefSeq
sens,Salmonella enterica subsp. enterica serovar Agona 24249,2013,RefSeq
sed,Salmonella enterica subsp. enterica serovar Dublin,2008,RefSeq
seg,Salmonella enterica subsp. enterica serovar Gallinarum 287/91,2008,RefSeq
sel,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078,2012,RefSeq
sega,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67,2013,RefSeq
set,Salmonella enterica subsp. enterica serovar Enteritidis P125109,2008,RefSeq
sena,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135,2015,GenBank
seno,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193,2015,GenBank
senv,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,2015,GenBank
senq,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531,2015,GenBank
senl,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1,2015,GenBank
senj,Salmonella enterica subsp. enterica serovar Javiana,2013,RefSeq
seec,Salmonella enterica subsp. enterica Serovar Cubana,2013,RefSeq
seeb,Salmonella enterica subsp. enterica serovar Bareilly,2013,RefSeq
seep,Salmonella enterica subsp. enterica serovar Pullorum,2013,RefSeq
senb,Salmonella enterica subsp. enterica serovar Bovismorbificans,2013,RefSeq
sene,Salmonella enterica subsp. enterica serovar Thompson,2013,RefSeq
senc,Salmonella enterica subsp. enterica serovar Tennessee,2015,GenBank
ses,Salmonella enterica subsp. arizonae,2007,GenBank
sbg,Salmonella bongori NCTC 12419,2011,RefSeq
sbz,Salmonella bongori N268-08,2013,RefSeq
sbv,Salmonella bongori serovar 48:z41:--,2014,GenBank
ype,Yersinia pestis CO92 (biovar Orientalis),2001,RefSeq
ypk,Yersinia pestis KIM10+ (biovar Mediaevalis),2002,RefSeq
ypa,Yersinia pestis Antiqua (biovar Antiqua),2006,GenBank
ypn,Yersinia pestis Nepal516 (biovar Antiqua),2006,GenBank
ypm,Yersinia pestis 91001 (biovar Microtus),2004,RefSeq
ypp,Yersinia pestis Pestoides F,2007,RefSeq
ypg,Yersinia pestis Angola,2007,RefSeq
ypz,Yersinia pestis Z176003,2010,RefSeq
ypt,Yersinia pestis A1122,2012,RefSeq
ypd,Yersinia pestis D106004,2012,RefSeq
ypx,Yersinia pestis D182038,2012,RefSeq
yph,Yersinia pestis biovar Medievalis Harbin 35,2012,RefSeq
ypw,Yersinia pestis PBM19,2015,GenBank
ypj,Yersinia pestis Harbin35,2015,GenBank
ypv,Yersinia pestis Shasta,2015,GenBank
ypl,Yersinia pestis El Dorado,2015,GenBank
yps,Yersinia pseudotuberculosis IP32953 (serotype I),2004,RefSeq
ypo,Yersinia pseudotuberculosis IP 32953 (serotype 1),2015,GenBank
ypi,Yersinia pseudotuberculosis IP31758 (serotype O:1b),2007,RefSeq
ypy,Yersinia pseudotuberculosis YPIII,2008,RefSeq
ypb,Yersinia pseudotuberculosis PB1/+,2008,RefSeq
ypq,Yersinia pseudotuberculosis ATCC 6904,2014,GenBank
ypu,Yersinia pseudotuberculosis MD67,2015,GenBank
ypr,Yersinia pseudotuberculosis EP2/+,2015,GenBank
ypc,Yersinia pseudotuberculosis 1,2015,GenBank
ypf,Yersinia pseudotuberculosis PA3606,2015,GenBank
yen,Yersinia enterocolitica subsp. enterocolitica 8081,2007,RefSeq
yep,Yersinia enterocolitica subsp. palearctica 105.5R(r),2011,RefSeq
yey,Yersinia enterocolitica subsp. palearctica Y11,2012,RefSeq
yel,Yersinia enterocolitica LC20,2014,GenBank
yew,Yersinia enterocolitica WA,2015,GenBank
yet,Yersinia enterocolitica 2516-87,2015,GenBank
yef,Yersinia enterocolitica FORC_002,2015,GenBank
yee,Yersinia enterocolitica (type O:5) YE53/03,2015,GenBank
ysi,Yersinia similis,2014,GenBank
yal,Yersinia aldovae,2015,GenBank
yfr,Yersinia frederiksenii,2015,GenBank
yin,Yersinia intermedia,2015,GenBank
ykr,Yersinia kristensenii,2015,GenBank
yro,Yersinia rohdei,2015,GenBank
yru,Yersinia ruckeri YRB,2015,GenBank
yrb,Yersinia ruckeri Big Creek 74,2015,GenBank
yak,Yersinia aleksiciae,2015,GenBank
sfl,Shigella flexneri 301 (serotype 2a),2002,RefSeq
sfx,Shigella flexneri 2457T (serotype 2a),2003,RefSeq
sfv,Shigella flexneri 8401 (serotype 5b),2006,RefSeq
sfe,Shigella flexneri 2002017 (serotype Fxv),2012,RefSeq
sfn,Shigella flexneri 2003036,2014,GenBank
sfs,Shigella flexneri Shi06HN006 (serotype Yv),2014,GenBank
sft,Shigella flexneri NCTC1,2015,GenBank
ssn,Shigella sonnei Ss046,2005,RefSeq
ssj,Shigella sonnei 53G,2012,RefSeq
sbo,Shigella boydii Sb227,2005,RefSeq
sbc,Shigella boydii CDC 3083-94,2008,RefSeq
sdy,Shigella dysenteriae Sd197,2005,RefSeq
sdz,Shigella dysenteriae 1617,2013,RefSeq
eca,Pectobacterium atrosepticum SCRI1043,2004,RefSeq
patr,Pectobacterium atrosepticum JG10-08,2014,GenBank
pato,Pectobacterium atrosepticum 21A,2014,GenBank
pct,Pectobacterium carotovorum subsp. carotovorum PC1,2009,RefSeq
pcc,Pectobacterium carotovorum subsp. carotovorum PCC21,2012,RefSeq
pcv,Pectobacterium carotovorum subsp. odoriferum,2014,GenBank
pwa,Pectobacterium wasabiae,2009,RefSeq
pec,Pectobacterium sp. SCC3193,2013,RefSeq
eta,Erwinia tasmaniensis,2008,RefSeq
epy,Erwinia pyrifoliae Ep1/96,2009,RefSeq
epr,Erwinia pyrifoliae DSM 12163,2012,RefSeq
eam,Erwinia amylovora CFBP1430,2010,RefSeq
eay,Erwinia amylovora ATCC 49946,2010,RefSeq
ebi,Erwinia billingiae,2010,RefSeq
erj,Erwinia sp. Ejp617,2012,RefSeq
plu,Photorhabdus luminescens,2003,RefSeq
pay,Photorhabdus asymbiotica,2009,RefSeq
ptt,Photorhabdus temperata,2015,GenBank
buc,Buchnera aphidicola APS (Acyrthosiphon pisum),2000,RefSeq
bap,Buchnera aphidicola 5A (Acyrthosiphon pisum),2009,RefSeq
bau,Buchnera aphidicola Tuc7 (Acyrthosiphon pisum),2009,RefSeq
baw,Buchnera aphidicola JF98 (Acyrthosiphon pisum),2012,RefSeq
bajc,Buchnera aphidicola JF99 (Acyrthosiphon pisum),2012,RefSeq
bua,Buchnera aphidicola LL01 (Acyrthosiphon pisum),2012,RefSeq
bup,Buchnera aphidicola TLW03 (Acyrthosiphon pisum),2012,RefSeq
bak,Buchnera aphidicola Ak (Acyrthosiphon kondoi),2012,RefSeq
buh,Buchnera aphidicola Ua (Uroleucon ambrosiae),2012,RefSeq
bapf,Buchnera aphidicola F009 (Myzus persicae),2014,GenBank
bapg,Buchnera aphidicola G002 (Myzus persicae),2014,GenBank
bapu,Buchnera aphidicola USDA (Myzus persicae),2014,GenBank
bapw,Buchnera aphidicola W106 (Myzus persicae),2014,GenBank
bas,Buchnera aphidicola Sg (Schizaphis graminum),2002,RefSeq
bab,Buchnera aphidicola Bp (Baizongia pistaciae),2003,RefSeq
bcc,Buchnera aphidicola Cc (Cinara cedri),2006,RefSeq
baj,Buchnera aphidicola (Cinara tujafilina),2011,RefSeq
wbr,Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis),2002,RefSeq
wgl,Wigglesworthia glossinidia morsitans (Glossina morsitans),2012,RefSeq
sgl,Sodalis glossinidius (Glossina spp.),2006,RefSeq
sod,Sodalis sp. HS1,2014,GenBank
pes,Candidatus Sodalis pierantonius,2014,GenBank
ent,Enterobacter sp. 638,2007,RefSeq
enc,Enterobacter cloacae subsp. cloacae ATCC 13047,2010,RefSeq
eno,Enterobacter cloacae subsp. cloacae ENHKU01,2012,RefSeq
eclo,Enterobacter cloacae subsp. cloacae NCTC 9394,2013,GenBank
eec,Enterobacter cloacae EcWSU1,2012,RefSeq
enl,Enterobacter cloacae subsp. dissolvens SDM,2012,RefSeq
ecla,Enterobacter cloacae ECNIH3,2014,GenBank
eclc,Enterobacter cloacae ECR091,2014,GenBank
eclg,Enterobacter cloacae GGT036,2014,GenBank
ecle,Enterobacter cloacae ECNIH2,2014,GenBank
ecln,Enterobacter cloacae ECNIH4,2014,GenBank
ecli,Enterobacter cloacae ECNIH5,2015,GenBank
eclx,Enterobacter cloacae 34399,2015,GenBank
ecly,Enterobacter cloacae 34977,2015,GenBank
eclz,Enterobacter cloacae 34983,2015,GenBank
esc,Enterobacter lignolyticus,2010,RefSeq
eas,Enterobacter asburiae LF7a,2011,RefSeq
eau,Enterobacter asburiae L1,2014,GenBank
eae,Enterobacter aerogenes KCTC 2190,2011,RefSeq
ear,Enterobacter aerogenes EA1509E,2013,RefSeq
enr,Enterobacter sp. R4-368,2013,RefSeq
esa,Cronobacter sakazakii ATCC BAA-894,2007,RefSeq
csk,Cronobacter sakazakii ES15,2012,RefSeq
csz,Cronobacter sakazakii Sp291,2013,RefSeq
csi,Cronobacter sakazakii CMCC 45402,2013,RefSeq
csj,Cronobacter sakazakii ATCC 29544,2015,GenBank
ctu,Siccibacter turicensis,2009,RefSeq
kpn,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,2007,RefSeq
kpu,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2009,RefSeq
kpm,Klebsiella pneumoniae subsp. pneumoniae HS11286,2012,RefSeq
kpp,Klebsiella pneumoniae subsp. pneumoniae 1084,2012,RefSeq
kpk,Klebsiella pneumoniae subsp. pneumoniae KP5-1,2014,GenBank
kph,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,2014,GenBank
kpz,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,2014,GenBank
kpv,Klebsiella pneumoniae subsp. pneumoniae KPNIH29,2014,GenBank
kpw,Klebsiella pneumoniae subsp. pneumoniae KPNIH30,2014,GenBank
kpy,Klebsiella pneumoniae subsp. pneumoniae KPNIH31,2014,GenBank
kpg,Klebsiella pneumoniae subsp. pneumoniae KPNIH32,2014,GenBank
kpc,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,2015,GenBank
kpq,Klebsiella pneumoniae subsp. pneumoniae KPR0928,2014,GenBank
kpt,Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1,2014,GenBank
kpe,Klebsiella pneumoniae 342,2008,RefSeq
kpo,Klebsiella pneumoniae KCTC 2242,2012,RefSeq
kpr,Klebsiella pneumoniae,2013,RefSeq
kpj,Klebsiella pneumoniae JM45,2013,RefSeq
kpi,Klebsiella pneumoniae CG43,2013,RefSeq
kpa,Klebsiella pneumoniae 30660/NJST258_1,2014,GenBank
kps,Klebsiella pneumoniae 30684/NJST258_2,2014,GenBank
kpx,Klebsiella pneumoniae PMK1,2014,GenBank
kpb,Klebsiella pneumoniae blaNDM-1,2014,GenBank
kpne,Klebsiella pneumoniae 32192,2015,GenBank
kpnu,Klebsiella pneumoniae 34618,2015,GenBank
kva,Klebsiella variicola At-22,2010,RefSeq
kvd,Klebsiella variicola DX120E,2015,GenBank
kvq,Klebsiella variicola DSM 15968,2015,GenBank
kox,Klebsiella oxytoca KCTC 1686,2012,RefSeq
koe,Klebsiella oxytoca E718,2012,RefSeq
koy,Klebsiella oxytoca HKOPL1,2014,GenBank
kok,Klebsiella oxytoca KONIH1,2014,GenBank
kom,Klebsiella oxytoca M1,2014,GenBank
kmi,Klebsiella michiganensis,2015,GenBank
cko,Citrobacter koseri,2007,RefSeq
cro,Citrobacter rodentium,2010,RefSeq
cfd,Citrobacter freundii,2014,GenBank
cama,Citrobacter amalonaticus,2015,GenBank
spe,Serratia proteamaculans,2007,RefSeq
srr,Serratia plymuthica AS9,2011,RefSeq
srl,Serratia plymuthica 4Rx13,2013,RefSeq
sry,Serratia plymuthica S13,2013,RefSeq
srs,Serratia sp. AS12,2011,RefSeq
sra,Serratia sp. AS13,2012,RefSeq
ssz,Serratia symbiotica,2012,GenBank
smaf,Serratia marcescens FGI94,2013,RefSeq
smw,Serratia marcescens WW4,2013,RefSeq
smar,Serratia marcescens SM39,2015,GenBank
smac,Serratia marcescens subsp. marcescens Db11,2015,GenBank
slq,Serratia liquefaciens,2013,RefSeq
serr,Serratia sp. ATCC 39006,2013,RefSeq
sfo,Serratia fonticola,2014,GenBank
serf,Serratia sp. FS14,2014,GenBank
sers,Serratia sp. SCBI,2014,GenBank
pmr,Proteus mirabilis HI4320,2008,RefSeq
pmib,Proteus mirabilis BB2000,2013,RefSeq
eic,Edwardsiella ictaluri,2009,RefSeq
etr,Edwardsiella tarda EIB202,2009,GenBank
etd,Edwardsiella tarda FL6-60,2012,RefSeq
ete,Edwardsiella tarda 080813,2014,GenBank
etc,Edwardsiella piscicida C07-087,2013,RefSeq
edw,Edwardsiella sp. EA181011,2015,GenBank
edl,Edwardsiella sp. LADL05-105,2015,GenBank
bfl,Candidatus Blochmannia floridanus (Camponotus floridanus),2003,RefSeq
bpn,Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus),2005,RefSeq
bva,Candidatus Blochmannia vafer (Camponotus vafer),2011,RefSeq
bchr,Candidatus Blochmannia chromaiodes (Camponotus chromaiodes),2013,RefSeq
ben,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757,2015,GenBank
bed,Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675,2015,GenBank
hde,Candidatus Hamiltonella defensa (Acyrthosiphon pisum),2009,GenBank
sect,Secondary endosymbiont of Ctenarytaina eucalypti,2012,RefSeq
sehc,Secondary endosymbiont of Heteropsylla cubana,2012,RefSeq
dda,Dickeya dadantii Ech703,2009,RefSeq
ddc,Dickeya dadantii Ech586,2009,RefSeq
ddd,Dickeya dadantii 3937,2010,RefSeq
dze,Dickeya zeae Ech1591,2009,RefSeq
dzc,Dickeya zeae EC1,2015,GenBank
xbo,Xenorhabdus bovienii SS-2004,2010,RefSeq
xbv,Xenorhabdus bovienii CS03,2015,GenBank
xne,Xenorhabdus nematophila ATCC 19061,2010,RefSeq
xnm,Xenorhabdus nematophila AN6/1,2015,GenBank
xdo,Xenorhabdus doucetiae,2015,GenBank
xpo,Xenorhabdus poinarii,2015,GenBank
pam,Pantoea ananatis LMG 20103,2010,RefSeq
plf,Pantoea ananatis LMG 5342,2012,RefSeq
paj,Pantoea ananatis AJ13355,2012,GenBank
paq,Pantoea ananatis PA13,2012,RefSeq
pva,Pantoea vagans,2010,RefSeq
pao,Pantoea sp. At-9b,2011,RefSeq
kln,Pantoea rwandensis,2014,GenBank
pant,Pantoea sp. PSNIH1,2014,GenBank
panp,Pantoea sp. PSNIH2,2015,GenBank
hhs,Candidatus Pantoea carbekii,2013,RefSeq
pck,Candidatus Pantoea carbekii US,2015,GenBank
rip,Candidatus Riesia pediculicola,2010,RefSeq
rah,Rahnella sp. Y9602,2011,RefSeq
raq,Rahnella aquatilis CIP 78.65 = ATCC 33071,2012,RefSeq
raa,Rahnella aquatilis HX2,2012,RefSeq
men,Candidatus Moranella endobia PCIT,2011,RefSeq
meo,Candidatus Moranella endobia PCVAL,2013,RefSeq
psi,Providencia stuartii MRSN 2154,2012,RefSeq
psx,Providencia stuartii ATCC 33672,2014,GenBank
ebt,Shimwellia blattae,2012,RefSeq
mmk,Morganella morganii,2013,GenBank
ror,Raoultella ornithinolytica B6,2013,RefSeq
ron,Raoultella ornithinolytica S12,2015,GenBank
cnt,Cedecea neteri,2014,GenBank
cem,Cedecea sp. M006,2014,GenBank
cen,Cedecea sp. ND14a,2014,GenBank
ced,Cedecea sp. ND14b,2014,GenBank
pge,Pluralibacter gergoviae,2014,GenBank
hav,Hafnia alvei,2014,GenBank
ksa,Kosakonia sacchari,2015,GenBank
kin,Kluyvera intermedia,2015,GenBank
pfq,Pragia fontium,2015,GenBank
sbw,Symbiont bacterium UwTKB of Urostylis westwoodii,2015,GenBank
ebf,Enterobacteriaceae bacterium FGI 57,2013,RefSeq
psts,Plautia stali symbiont,2014,RefSeq
hin,Haemophilus influenzae Rd KW20 (serotype d),1995,RefSeq
hit,Haemophilus influenzae 86-028NP (nontypeable),2005,RefSeq
hip,Haemophilus influenzae PittEE (nontypeable),2007,RefSeq
hiq,Haemophilus influenzae PittGG (nontypeable),2007,RefSeq
hif,Haemophilus influenzae F3031 (nontypeable),2011,GenBank
hil,Haemophilus influenzae F3047 (nontypeable),2011,RefSeq
hiu,Haemophilus influenzae 10810 (serotype b),2012,RefSeq
hie,Haemophilus influenzae R2846 (nontypeable),2012,RefSeq
hiz,Haemophilus influenzae R2866 (nontypeable),2012,RefSeq
hik,Haemophilus influenzae KR494 (serotype f),2013,RefSeq
hia,Haemophilus influenzae CGSHiCZ412602,2014,GenBank
hih,Haemophilus influenzae Hi375,2014,GenBank
hiw,Haemophilus influenzae 477,2015,GenBank
hic,Haemophilus influenzae C486,2015,GenBank
hix,Haemophilus influenzae 723,2015,GenBank
hdu,Haemophilus ducreyi,2003,RefSeq
hap,Haemophilus parasuis SH0165,2009,RefSeq
hpaz,Haemophilus parasuis ZJ0906,2013,RefSeq
hpas,Haemophilus parasuis SH03,2014,GenBank
hpak,Haemophilus parasuis KL0318,2014,GenBank
hpr,Haemophilus parainfluenzae,2011,GenBank
hso,Haemophilus somnus 129PT,2006,RefSeq
hsm,Haemophilus somnus 2336,2008,RefSeq
pmu,Pasteurella multocida subsp. multocida Pm70,2001,RefSeq
pmv,Pasteurella multocida subsp. multocida HN06,2012,RefSeq
pul,Pasteurella multocida subsp. multocida 3480,2012,RefSeq
pmp,Pasteurella multocida 36950,2012,RefSeq
pmul,Pasteurella multocida ATCC 43137,2014,GenBank
msu,Mannheimia succiniciproducens,2004,RefSeq
mht,Mannheimia haemolytica USDA-ARS-SAM-185,2013,RefSeq
mhq,Mannheimia haemolytica USDA-ARS-USMARC-183,2013,RefSeq
mhat,Mannheimia haemolytica USDA-ARS-USMARC-184,2015,GenBank
mhx,Mannheimia haemolytica M42548,2013,RefSeq
mhae,Mannheimia haemolytica D153,2013,RefSeq
mham,Mannheimia haemolytica D171,2013,RefSeq
mhao,Mannheimia haemolytica D174,2013,RefSeq
mhal,Mannheimia haemolytica USMARC_2286,2013,RefSeq
mhaq,Mannheimia haemolytica 89010807N,2015,GenBank
mhay,Mannheimia haemolytica 89010807N lktA-,2015,GenBank
mvr,Mannheimia varigena USDA-ARS-USMARC-1261,2014,GenBank
mvi,Mannheimia varigena USDA-ARS-USMARC-1296,2014,GenBank
mvg,Mannheimia varigena USDA-ARS-USMARC-1312,2014,GenBank
mve,Mannheimia varigena USDA-ARS-USMARC-1388,2014,GenBank
apl,Actinobacillus pleuropneumoniae L20 (serotype 5b),2007,RefSeq
apj,Actinobacillus pleuropneumoniae JL03 (serotype 3),2008,RefSeq
apa,Actinobacillus pleuropneumoniae AP76 (serotype 7),2008,RefSeq
asu,Actinobacillus succinogenes,2007,RefSeq
asi,Actinobacillus suis H91-0380,2012,RefSeq
ass,Actinobacillus suis ATCC 33415,2014,GenBank
aeu,Actinobacillus equuli,2014,GenBank
aap,Aggregatibacter aphrophilus,2009,RefSeq
aat,Aggregatibacter actinomycetemcomitans D11S-1,2009,GenBank
aao,Aggregatibacter actinomycetemcomitans ANH9381,2012,RefSeq
aan,Aggregatibacter actinomycetemcomitans D7S-1,2012,RefSeq
aah,Aggregatibacter actinomycetemcomitans HK1651,2014,GenBank
gan,Gallibacterium anatis,2011,RefSeq
bto,Bibersteinia trehalosi USDA-ARS-USMARC-192,2013,RefSeq
btre,Bibersteinia trehalosi USDA-ARS-USMARC-188,2014,GenBank
btrh,Bibersteinia trehalosi USDA-ARS-USMARC-189,2014,GenBank
btra,Bibersteinia trehalosi USDA-ARS-USMARC-190,2014,GenBank
xfa,Xylella fastidiosa 9a5c,2000,RefSeq
xft,Xylella fastidiosa Temecula1,2003,RefSeq
xfm,Xylella fastidiosa M12,2008,RefSeq
xfn,Xylella fastidiosa M23,2008,RefSeq
xff,Xylella fastidiosa subsp. fastidiosa GB514,2012,RefSeq
xfl,Xylella fastidiosa MUL0034,2014,GenBank
xfs,Xylella fastidiosa subsp. sandyi Ann-1,2014,GenBank
xcc,Xanthomonas campestris pv. campestris ATCC 33913,2002,RefSeq
xcb,Xanthomonas campestris pv. campestris 8004,2005,RefSeq
xca,Xanthomonas campestris pv. campestris B100,2008,RefSeq
xcp,Xanthomonas campestris pv. raphani,2012,RefSeq
xcv,Xanthomonas campestris pv. vesicatoria,2005,RefSeq
xac,Xanthomonas citri pv. citri 306,2002,RefSeq
xci,Xanthomonas citri subsp. citri Aw12879,2013,RefSeq
xct,Xanthomonas citri subsp. citri A306,2015,GenBank
xcu,Xanthomonas citri subsp. citri UI7,2015,GenBank
xcn,Xanthomonas citri subsp. citri NT17,2015,GenBank
xcw,Xanthomonas citri subsp. citri MN10,2015,GenBank
xcr,Xanthomonas citri subsp. citri MN11,2015,GenBank
xcm,Xanthomonas citri subsp. citri MN12,2015,GenBank
xcf,Xanthomonas citri subsp. citri mf20,2015,GenBank
xcj,Xanthomonas citri subsp. citri UI6,2015,GenBank
xfu,Xanthomonas fuscans,2014,RefSeq
xax,Xanthomonas alfalfae,2011,RefSeq
xao,Xanthomonas axonopodis Xac29-1,2013,RefSeq
xoo,Xanthomonas oryzae pv. oryzae KACC 10331,2005,RefSeq
